"","Ortho","Phono","Length","LogFreq","meanRT","accuracy"
"206","accommodate","@kAm@det",11,7.81,705.035714285714,0.96551724137931
"207","accommodated","@kAm@det@d",12,5.71,728.535714285714,0.933333333333333
"208","accommodates","@kAm@dets",12,4.91,782.75,1
"209","accommodating","@kAm@detIN",13,6.1,871.103448275862,0.966666666666667
"210","accommodation","@kAm@deSn",13,7.6,733.5,1
"211","accommodations","@kAm@deSnz",14,7.27,662.035714285714,1
"212","accompanied","@kVmp@nid",11,8.4,834.84,0.892857142857143
"213","accompanies","@kVmp@niz",11,6.58,738.52,0.892857142857143
"214","accompaniment","@kVmp@nIm@nt",13,6.57,824.789473684211,0.655172413793103
"215","accompaniments","@kVmp@nIm@nts",14,3.58,875.333333333333,0.428571428571429
"216","accompanist","@kVmp@nIst",11,5.05,872.304347826087,0.766666666666667
"217","accompanists","@kVmp@nIsts",12,4.29,1016.70588235294,0.586206896551724
"218","accompany","@kVmp@ni",9,7.67,688.290322580645,1
"219","accompanying","@kVmp@niIN",12,8,788.88,0.862068965517241
"220","accomplice","@kAmplIs",10,5.64,743.407407407407,0.9
"221","accomplices","@kAmplIs@z",11,5.39,805.833333333333,0.827586206896552
"222","accomplish","@kAmplIS",10,8.96,624.133333333333,0.9375
"223","accomplished","@kAmplISt",12,8.85,818.266666666667,1
"224","accomplishes","@kAmplIS@z",12,6.38,679.857142857143,1
"225","accomplishing","@kAmplISIN",13,6.56,708.206896551724,0.966666666666667
"226","accomplishment","@kAmplISm@nt",14,7.17,673.758620689655,1
"227","accomplishments","@kAmplISm@nts",15,7.6,746.51724137931,0.966666666666667
"228","accord","@kOrd",6,8.17,595.777777777778,1
"229","accordance","@kOrdns",10,8.49,758.566666666667,0.967741935483871
"230","accorded","@kOrt@d",8,6.33,764.733333333333,1
"231","according","@kOrtIN",9,11.08,628.133333333333,1
"232","accordingly","@kOrtINli",11,8.54,655.714285714286,1
"233","accordion","@kOrti@n",9,6.38,911.965517241379,1
"234","accords","@kOrdz",7,6.88,640.214285714286,1
